SA3_CODE_2016,SA3_NAME_2016,SA4_CODE_2016,SA4_NAME_2016,GCCSA_CODE_2016,GCCSA_NAME_2016,STATE_CODE_2016,STATE_NAME_2016,AREA_ALBERS_SQKM
31701,Toowoomba,317,Toowoomba,3RQLD,Rest of Qld,3,Queensland,2258.7955
31801,Charters Towers - Ayr - Ingham,318,Townsville,3RQLD,Rest of Qld,3,Queensland,76209.8053
31802,Townsville,318,Townsville,3RQLD,Rest of Qld,3,Queensland,3826.2924
31901,Bundaberg,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,3786.0126
31902,Burnett,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,30736.8312
31903,Gympie - Cooloola,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,6975.2278
31904,Hervey Bay,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,251.5569
31905,Maryborough,319,Wide Bay,3RQLD,Rest of Qld,3,Queensland,6752.9516
39797,Migratory - Offshore - Shipping (Qld),397,Migratory - Offshore - Shipping (Qld),39799,Migratory - Offshore - Shipping (Qld),3,Queensland,0
39999,No usual address (Qld),399,No usual address (Qld),39499,No usual address (Qld),3,Queensland,0
40101,Adelaide City,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,15.5733
40102,Adelaide Hills,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,1388.1168
40103,Burnside,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,27.5183
40104,Campbelltown (SA),401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,25.368
40105,Norwood - Payneham - St Peters,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,15.1036
40106,Prospect - Walkerville,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,11.3215
40107,Unley,401,Adelaide - Central and Hills,4GADE,Greater Adelaide,4,South Australia,14.2703
40201,Gawler - Two Wells,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,306.865
40202,Playford,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,356.8029
40203,Port Adelaide - East,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,34.8399
40204,Salisbury,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,150.1709
40205,Tea Tree Gully,402,Adelaide - North,4GADE,Greater Adelaide,4,South Australia,91.314
40301,Holdfast Bay,403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,13.14
40302,Marion,403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,56.1996
40303,Mitcham,403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,74.3702
40304,Onkaparinga,403,Adelaide - South,4GADE,Greater Adelaide,4,South Australia,519.3716
40401,Charles Sturt,404,Adelaide - West,4GADE,Greater Adelaide,4,South Australia,53.3186
40402,Port Adelaide - West,404,Adelaide - West,4GADE,Greater Adelaide,4,South Australia,67.7726
40403,West Torrens,404,Adelaide - West,4GADE,Greater Adelaide,4,South Australia,38.3988
40501,Barossa,405,Barossa - Yorke - Mid North,4RSAU,Rest of SA,4,South Australia,2837.1519
40502,Lower North,405,Barossa - Yorke - Mid North,4RSAU,Rest of SA,4,South Australia,13728.959
40503,Mid North,405,Barossa - Yorke - Mid North,4RSAU,Rest of SA,4,South Australia,14409.4798
40504,Yorke Peninsula,405,Barossa - Yorke - Mid North,4RSAU,Rest of SA,4,South Australia,6740.7625
